# GitHub repository metadata for exact current WebMCP API code matches
# Source query: document.modelContext.registerTool
# Snapshot date: 2026-09-02 (Asia/Kolkata)
# Scope: distinct repositories represented in GitHub's capped first 1,000 code-search results.
# Important: stars measure repository reach, not the maturity of its WebMCP integration; forks and vendored WPT copies remain labelled.
# Columns: repo, stars, forks, is_fork, created_at, updated_at, primary_language, description, homepage, github_url
repo	stars	forks	is_fork	created_at	updated_at	primary_language	description	homepage	github_url
web3curtis/Critiqor	2	0	false	2026-05-29T10:14:11Z	2026-09-01T12:13:28Z	JavaScript	Runtime reliability intelligence designed specifically for OpenClaw frameworks and agents.	https://critiqor.vercel.app/	https://github.com/web3curtis/Critiqor
AGENTROPOLIS-CITY-OF-AGENTS/AGENTROPOLIS-WEBMCP-CHALLENGE	1	0	false	2026-08-25T20:21:26Z	2026-09-02T04:32:27Z	TypeScript	A governed WebMCP gateway for accountable autonomous agents — built on the AGENTROPOLIS Intelligence Grid for the WebMCP Challenge.		https://github.com/AGENTROPOLIS-CITY-OF-AGENTS/AGENTROPOLIS-WEBMCP-CHALLENGE
alextio/CandidateAIHackathon	1	0	false	2026-08-08T16:04:59Z	2026-08-10T20:19:23Z	TypeScript			https://github.com/alextio/CandidateAIHackathon
Blackie360/gdgnai-web-mcp	1	1	false	2026-06-19T12:11:13Z	2026-07-06T12:27:44Z	CSS			https://github.com/Blackie360/gdgnai-web-mcp
BlazejKunke/kunke-consulting-website	1	0	false	2025-07-25T21:30:07Z	2026-09-02T07:27:22Z	Astro	Official website for Blazej Kunke Consulting Company based in Poland		https://github.com/BlazejKunke/kunke-consulting-website
BLx-Ankush/HRMS-2	1	0	false	2026-08-27T07:10:47Z	2026-08-31T12:12:17Z	TypeScript		https://hrms-2-virid.vercel.app	https://github.com/BLx-Ankush/HRMS-2
creativoma/webmcp	1	0	false	2026-07-21T17:58:52Z	2026-08-01T14:17:57Z	JavaScript	Reference demos and eval fixtures for WebMCP — the proposed web standard for exposing page tools to in-browser AI agents		https://github.com/creativoma/webmcp
danduh/window-ai	1	1	false	2024-10-29T20:37:24Z	2026-08-12T14:02:14Z	TypeScript	Demo for window.ai API		https://github.com/danduh/window-ai
devinat1/skills	1	0	false	2026-04-16T06:35:14Z	2026-08-29T19:31:31Z	Python	Skills that sharpen your thinking		https://github.com/devinat1/skills
dquikbrwnfox/moodle-webmcp	1	0	false	2026-08-27T15:46:50Z	2026-09-02T05:47:18Z	PHP			https://github.com/dquikbrwnfox/moodle-webmcp
elyhwolf/gemini-internship	1	0	false	2026-06-22T16:57:02Z	2026-09-01T20:52:11Z	HTML	Gemini internship 	https://gemini-internship.vercel.app	https://github.com/elyhwolf/gemini-internship
engrtitooo/buddy-webmcp	1	0	false	2026-08-31T01:59:02Z	2026-09-02T08:52:51Z	TypeScript	A friendly Chrome companion for WebMCP-powered websites with local approvals, voice, and multilingual support.		https://github.com/engrtitooo/buddy-webmcp
eralabs-ai/webmcp	1	0	false	2026-08-30T19:50:49Z	2026-08-31T17:33:58Z	TypeScript	Make your website agent-ready with WebMCP. Coding-agent plugin for Claude Code, Codex, and Cursor: audit, implement, and verify document.modelContext tools.		https://github.com/eralabs-ai/webmcp
fyaz05/adapthub-landing	1	0	false	2026-01-29T12:08:59Z	2026-08-21T14:27:36Z	Astro	Landing page for AdaptHub — the AI-powered adaptive learning engine built for CAT domination. Features real-time study plans, performance analytics, flow-state difficulty calibration, and an AI coach.	https://adapthub.in/	https://github.com/fyaz05/adapthub-landing
jsg3121/configDeck	1	1	false	2026-04-06T00:38:10Z	2026-07-29T11:30:18Z	TypeScript	development config builder	https://configdeck.dev/en/	https://github.com/jsg3121/configDeck
jthiller/heliumtools	1	1	false	2025-11-17T19:23:18Z	2026-08-27T20:45:07Z	JavaScript		https://heliumtools.org	https://github.com/jthiller/heliumtools
juan294/chapa	1	0	false	2026-02-10T04:53:46Z	2026-09-01T21:53:56Z	TypeScript	Developer impact, decoded. The badge that proves what you ship — built for the new era of LLM-assisted software engineering.	https://chapa.thecreativetoken.com	https://github.com/juan294/chapa
JustineDevs/Collection	1	0	false	2026-02-08T17:26:18Z	2026-08-31T11:25:24Z	Bikeshed	Collection of Skills that I published	https://skills.sh/justinedevs/collection	https://github.com/JustineDevs/Collection
leochiu-a/blog	1	0	false	2026-06-14T05:48:12Z	2026-09-02T09:11:16Z	TypeScript	Leo 的手寫筆記	https://leochiu.com/	https://github.com/leochiu-a/blog
LIghtJUNction/go.lmm.best	1	0	false	2026-08-26T10:20:02Z	2026-08-29T11:53:39Z	TypeScript	Human vs. AI Go, powered by WebMCP	https://go.lmm.best	https://github.com/LIghtJUNction/go.lmm.best
living-book/living-book.github.io	1	1	false	2026-07-05T12:19:58Z	2026-07-24T02:45:12Z	Python	Book companions that improve with your feedback	https://living-book.github.io/	https://github.com/living-book/living-book.github.io
LMD-Academy/LMDpro-v2.2	1	0	false	2026-08-02T11:21:57Z	2026-08-03T07:46:49Z	TypeScript			https://github.com/LMD-Academy/LMDpro-v2.2
Maharajahu/toolbraid	1	0	false	2026-08-26T17:48:42Z	2026-08-31T03:51:13Z	JavaScript	A browser-native semantic and policy control plane for safe, explainable, human-approved WebMCP execution across sites.	https://toolbraid-webmcp.vercel.app	https://github.com/Maharajahu/toolbraid
mariohercules/derelict	1	0	false	2026-08-26T12:23:27Z	2026-08-31T16:06:09Z	TypeScript	DERELICT — an asymmetric human+AI co-op escape room. You play the ship; your AI agent runs its systems through 31 live WebMCP tools. Three chapters, four joint-ritual endings, seeded ships where every run is unique, EN/pt-BR.	https://derelict-game.vercel.app	https://github.com/mariohercules/derelict
mateolafalce/places	1	0	false	2026-09-01T22:17:48Z	2026-09-02T00:27:50Z	TypeScript	Pin what matters and let an agent reseat the rest, a WebMCP seating-chart room where tools appear and disappear with your selection and pins.	https://places.mateolafalce.chatgpt.site/	https://github.com/mateolafalce/places
mickeyszabo/servo	1	0	false	2026-08-05T10:40:03Z	2026-08-14T02:53:05Z	Rust	Servo aims to empower developers with a lightweight, high-performance alternative for embedding web technologies in applications.	https://servo.org	https://github.com/mickeyszabo/servo
mnaimfaizy/myorganizer	1	0	false	2024-11-16T04:24:50Z	2026-09-01T12:32:45Z	TypeScript		https://myorganizer-seven.vercel.app	https://github.com/mnaimfaizy/myorganizer
MokiMeow/rti-saathi	1	0	false	2026-08-26T04:23:34Z	2026-08-28T02:45:50Z	TypeScript	Citizen-first RTI guidance and filing prototype for India	https://rti-tawny.vercel.app	https://github.com/MokiMeow/rti-saathi
mooship/karta	1	0	false	2026-07-27T12:59:15Z	2026-09-01T16:39:35Z	TypeScript	Karta — a reusable SDK for public-interest geospatial layer platforms, proven out on a Gauteng apartheid spatial-legacy map.	https://karta.timothybrits.co.za	https://github.com/mooship/karta
mozilla-releng/git-backing	1	0	false	2026-06-15T15:44:11Z	2026-08-13T14:48:45Z	JavaScript	Temporary repository to host commits pushed to Mercurial for CI purposes		https://github.com/mozilla-releng/git-backing
MrSunshyne/sandeep.ramgolam.com-nuxt3	1	1	false	2023-11-19T09:24:03Z	2026-08-09T08:23:04Z	Vue	My personal website	https://sandeep.ramgolam.com	https://github.com/MrSunshyne/sandeep.ramgolam.com-nuxt3
MrSunshyne/vue-webmcp	1	0	false	2026-08-01T10:37:35Z	2026-08-29T16:05:16Z	TypeScript	WebMCP for Vue and Nuxt: expose page functionality as typed tools for AI agents (document.modelContext)	https://mrsunshyne.github.io/vue-webmcp/	https://github.com/MrSunshyne/vue-webmcp
mscststs/lumo	1	0	false	2026-08-01T17:10:33Z	2026-09-01T16:17:17Z	TypeScript	AI-powered browser sidebar assistant		https://github.com/mscststs/lumo
nublson/nublson	1	0	false	2021-11-03T20:31:47Z	2026-09-01T21:41:09Z	TypeScript	My personal portfolio!	https://nublson.com	https://github.com/nublson/nublson
PA-Analytics/trazo-quest-webmcp	1	0	false	2026-08-27T19:56:54Z	2026-08-28T03:10:45Z	TypeScript			https://github.com/PA-Analytics/trazo-quest-webmcp
Parshkov/Resonance	1	3	false	2026-08-30T02:36:19Z	2026-09-02T04:52:25Z	Python	Shazam for human thought — an open research and engineering project for discovering structural, analogical, and complementary resonance between ideas using Thought Graphs, relational fingerprints, and graph alignment.	https://www.linkedin.com/pulse/mcp-between-people-yet-parshkov-dmitry-qcugc	https://github.com/Parshkov/Resonance
PaulKinlan/chrome-agent-platform	1	0	false	2026-08-14T18:40:40Z	2026-09-02T09:17:30Z	JavaScript	Chrome as the agent platform: NTP agent hub orchestrating the web via WebMCP, with sites-as-sub-agents, OPFS memory, alarms, and co-do WASM tools		https://github.com/PaulKinlan/chrome-agent-platform
peter-gy/pyagentbrowser	1	0	false	2026-06-02T09:55:58Z	2026-09-01T08:21:37Z	Python	Python SDK for the native Rust agent-browser engine.		https://github.com/peter-gy/pyagentbrowser
praxstack/ai-visual-code-review	1	0	false	2025-10-10T22:03:31Z	2026-08-30T16:57:28Z	Python			https://github.com/praxstack/ai-visual-code-review
qte77/agenthud-agui-a2ui	1	0	false	2026-04-04T19:00:54Z	2026-09-01T05:53:25Z	TypeScript	AG-UI event replay + A2UI component rendering in a Vite/React app.	https://qte77.github.io/agenthud-agui-a2ui/	https://github.com/qte77/agenthud-agui-a2ui
RobynAwesome/KPGS-Agent-Mission-Control	1	0	false	2026-08-31T16:54:43Z	2026-09-02T09:22:40Z	TypeScript	A WebMCP-native Web application where the browser exposes a governed state machine to an AI agent. 	https://kpgs-agent-mission-control.vercel.app	https://github.com/RobynAwesome/KPGS-Agent-Mission-Control
rswlljms/printchum	1	0	false	2026-07-26T10:23:30Z	2026-08-31T13:33:50Z	TypeScript	Privacy-first web app for creating print-ready ID photo layouts, with smart sizing, cropping, multi-page layouts, PDF export, and WebMCP-powered browser automation.	https://printchum.vercel.app/	https://github.com/rswlljms/printchum
runtypelabs/runtype-bc-graphql-sdk	1	0	false	2025-12-20T03:25:50Z	2026-08-18T15:47:17Z	TypeScript			https://github.com/runtypelabs/runtype-bc-graphql-sdk
runtypelabs/skills	1	0	false	2026-05-10T23:06:53Z	2026-08-18T15:41:19Z	JavaScript	Official agent skills for the Runtype platform	https://runtype.com	https://github.com/runtypelabs/skills
rytsh/mcp-page-bridge	1	0	false	2026-06-04T06:50:13Z	2026-09-01T23:30:48Z	TypeScript	browser MCP server		https://github.com/rytsh/mcp-page-bridge
sdivyanshu90/openagent-ledger	1	0	false	2026-08-27T09:53:10Z	2026-08-27T16:26:38Z	TypeScript		https://openagent-ledger.onrender.com/	https://github.com/sdivyanshu90/openagent-ledger
soney/spot-web	1	0	false	2019-12-17T20:09:02Z	2026-08-31T16:32:54Z	Ruby			https://github.com/soney/spot-web
StephenSook/placard	1	0	false	2026-08-29T19:42:12Z	2026-09-01T18:07:21Z	TypeScript	Paste a chemical manifest and watch an agent load a truck legally. The page shows which federal rule each pair breaks, quoted verbatim, and the shipping paper cannot be exported until the load passes. WebMCP + 49 CFR 177.848.	https://segregation-console.vercel.app	https://github.com/StephenSook/placard
sudarsan2507-hue/CockPit	1	0	false	2026-08-30T16:59:49Z	2026-09-01T19:39:08Z	TypeScript	utilizing the work of webMCP		https://github.com/sudarsan2507-hue/CockPit
tanahiro2010/webmcp-bridge-extension	1	1	false	2026-07-08T13:15:21Z	2026-08-04T01:24:44Z	TypeScript			https://github.com/tanahiro2010/webmcp-bridge-extension
tanahiro2010/webmcp-bridge-mcp	1	1	false	2026-07-08T13:16:06Z	2026-08-04T01:28:52Z	TypeScript			https://github.com/tanahiro2010/webmcp-bridge-mcp
tlskins/ff-draft-dashboard	1	0	false	2021-08-22T03:42:47Z	2026-09-01T04:52:58Z	TypeScript	Fantasy Football Drafting Dashboard	ff-draft-dashboard.vercel.app	https://github.com/tlskins/ff-draft-dashboard
VrilLabs/monster-webmcp-server	1	0	false	2026-06-08T09:33:43Z	2026-06-11T05:07:12Z	TypeScript	👾 MonsterWebMCP server bridges the W3C WebMCP standard (document.modelContext) with the existing MCP ecosystem, enabling any website to expose structured, callable tools to AI agents — natively through the browser’s WebMCP API when available, with seamless fallback to a polyfill-powered transport layer when not.	https://vril.li	https://github.com/VrilLabs/monster-webmcp-server
webmcpui/webmcpui	1	0	false	2026-06-28T05:29:55Z	2026-09-02T03:11:56Z	TypeScript	Agent-aware, framework-agnostic web components for the WebMCP era — accessible, form-associated controls an AI agent can fill, with Standard Schema validation.	https://webmcpui.com	https://github.com/webmcpui/webmcpui
wobsoriano/svelte-webmcp	1	0	false	2026-08-25T22:20:08Z	2026-08-26T05:39:06Z	TypeScript			https://github.com/wobsoriano/svelte-webmcp
wpscholar/contributor-day-editor-abilities	1	1	false	2026-08-16T20:28:43Z	2026-08-31T16:21:16Z	JavaScript			https://github.com/wpscholar/contributor-day-editor-abilities
xuLxxx/WhoseNote	1	0	false	2025-03-18T13:01:20Z	2026-08-18T13:53:51Z	TypeScript	React + React Native + Express + Typescript +Typeorm + Socket.IO		https://github.com/xuLxxx/WhoseNote
YASHSHAH-create/flight	1	0	false	2025-11-20T11:44:30Z	2026-08-12T20:45:49Z	TypeScript	new paymm with mordern desing 	https://newpaymmmain-yashshah-creates-projects.vercel.app	https://github.com/YASHSHAH-create/flight
000wq123/JobAssist	0	0	false	2026-08-26T16:02:52Z	2026-09-01T22:25:16Z	Python		https://job-assist-self.vercel.app	https://github.com/000wq123/JobAssist
11HimanshuSharma/anvil	0	0	false	2026-08-28T18:31:47Z	2026-08-29T10:52:26Z	TypeScript	A workspace whose tools are written at runtime, by your agent, with your approval. Built for the OpenAI WebMCP Challenge.	https://anvil-zeta-seven.vercel.app	https://github.com/11HimanshuSharma/anvil
2440893398/gantt-task-editor	0	0	false	2026-01-08T12:49:20Z	2026-09-01T14:48:50Z	JavaScript	甘特图任务编辑页面优化项目 - 支持可拖动分隔线、批量选中、自定义字段管理	https://gantt-task-editor.vercel.app	https://github.com/2440893398/gantt-task-editor
9bow/webmcp-legalize-kr	0	0	false	2026-08-30T15:16:37Z	2026-08-30T16:00:56Z	TypeScript	A WebMCP-powered workspace for reviewing changes in Korean statutes		https://github.com/9bow/webmcp-legalize-kr
9thLevelSoftware/product-engineer-helper	0	0	false	2026-09-01T18:32:10Z	2026-09-02T04:42:34Z	TypeScript	Legion CLI — Product Engineering lifecycle engine		https://github.com/9thLevelSoftware/product-engineer-helper
a7t-ai/saturate	0	0	false	2026-08-27T21:15:02Z	2026-08-28T03:56:14Z	TypeScript	See the graph saturate. A WebMCP canvas where you and an agent fan out load and watch what breaks.	https://saturate.pages.dev/	https://github.com/a7t-ai/saturate
aaxhixh1-a11y/scenarioforge-yes-	0	0	false	2026-09-02T06:27:20Z	2026-09-02T07:52:59Z	HTML	ScenarioForge — live shared financial scenarios with WebMCP (OpenAI WebMCP Challenge 2026)		https://github.com/aaxhixh1-a11y/scenarioforge-yes-
Ac0AI/sauna-quote-xray	0	0	false	2026-08-27T13:59:06Z	2026-09-01T10:12:58Z	TypeScript	A shared human-agent sauna quote review canvas built with WebMCP.	https://sauna.guide/tools/sauna-quote-xray	https://github.com/Ac0AI/sauna-quote-xray
acoyfellow/webmcp-proof	0	0	false	2026-08-27T18:38:58Z	2026-08-27T18:54:27Z	JavaScript			https://github.com/acoyfellow/webmcp-proof
adamalio/webmcp-incident-room	0	0	false	2026-08-27T11:13:17Z	2026-08-27T14:40:18Z	TypeScript	A human-agent incident response command room built with WebMCP	https://adamalio.github.io/webmcp-incident-room/	https://github.com/adamalio/webmcp-incident-room
adamtasteslikegood/md4a-fastapi	0	0	false	2026-08-20T00:02:39Z	2026-08-29T09:50:40Z	Python	md4a discovers, stores, and serves Markdown-for-Agents content using HTTP content negotiation (Accept: text/markdown). It can run as a standalone FastAPI service or extend an existing FastAPI application.		https://github.com/adamtasteslikegood/md4a-fastapi
adedayoagarau/pheet	0	0	false	2026-08-27T00:47:29Z	2026-08-27T20:55:25Z	TypeScript			https://github.com/adedayoagarau/pheet
adiprathapa/hex-machina	0	0	false	2026-08-27T23:31:03Z	2026-09-02T02:22:38Z	TypeScript	A graph-native WebMCP spell-debugging game where humans and agents negotiate executable intent.		https://github.com/adiprathapa/hex-machina
AdityaP9116/BuildReady	0	0	false	2026-08-30T17:28:31Z	2026-09-02T05:07:40Z	JavaScript			https://github.com/AdityaP9116/BuildReady
Aevion-ai/authority-gated-document-agent	0	0	false	2026-09-01T04:18:46Z	2026-09-01T04:19:14Z	HTML	Authority-gated WebMCP document agent: reversible tools, deterministic receipts, human approval for signing.		https://github.com/Aevion-ai/authority-gated-document-agent
AGI-Ventures-Canada/hackathon.new	0	0	false	2026-01-29T06:56:20Z	2026-09-01T16:21:23Z	TypeScript	Modern hackathon platform	hackathon.new	https://github.com/AGI-Ventures-Canada/hackathon.new
ai-integr8tor/heygen-com_hyperframes	0	0	false	2026-09-02T06:23:39Z	2026-09-02T06:27:36Z	TypeScript			https://github.com/ai-integr8tor/heygen-com_hyperframes
Aitherium/webmcp-design-studio	0	0	false	2026-08-25T21:58:12Z	2026-09-02T02:05:56Z	TypeScript			https://github.com/Aitherium/webmcp-design-studio
aitrailblazer/mirrorloopai-webmcp-challenge	0	0	false	2026-08-29T07:54:15Z	2026-08-31T06:54:06Z	HTML	Private competition workspace for the MIRROR//LOOP WebMCP experience		https://github.com/aitrailblazer/mirrorloopai-webmcp-challenge
AKzar1el/auvrora-webmcp	0	0	false	2026-08-28T20:57:49Z	2026-08-31T12:07:23Z	TypeScript	Human-agent WebMCP remediation loop for deterministic technical SEO audits. Built for the OpenAI WebMCP Challenge.	https://auvrora-webmcp.tomi-seregi99.workers.dev	https://github.com/AKzar1el/auvrora-webmcp
alessoh/drugs	0	0	false	2026-08-20T00:23:32Z	2026-08-31T20:47:52Z	JavaScript			https://github.com/alessoh/drugs
alliecatowo/careers-webmcp	0	0	false	2026-09-02T08:17:26Z	2026-09-02T08:36:18Z	TypeScript	The careers page is the connector. A normal careers site that exposes semantic WebMCP tools to the visiting browser agent (OpenAI WebMCP Challenge).		https://github.com/alliecatowo/careers-webmcp
alliecatowo/storybook-webmcp	0	0	false	2026-09-01T22:16:12Z	2026-09-02T00:14:05Z	TypeScript	A generic Storybook addon that compiles live stories, controls, globals, and viewport state into versioned WebMCP tools for browser agents.	https://storybook-web-mcp.vercel.app/storybook/	https://github.com/alliecatowo/storybook-webmcp
Ameya-bit/benefit-cliff-webmcp	0	0	false	2026-08-28T02:26:17Z	2026-09-01T17:02:25Z	HTML			https://github.com/Ameya-bit/benefit-cliff-webmcp
amohash/counterpart	0	0	false	2026-08-27T20:36:19Z	2026-09-01T04:08:42Z	JavaScript		https://counterpart-sandy.vercel.app	https://github.com/amohash/counterpart
anandiyerdigital/marqops-webmcp-challenge	0	0	false	2026-08-27T21:54:13Z	2026-08-27T22:01:28Z	JavaScript	Security-first, read-only WebMCP for evidence-led marketing reporting	https://www.marqops.com/webmcp	https://github.com/anandiyerdigital/marqops-webmcp-challenge
andreban/webmcp-rocketlauncher	0	0	false	2026-03-12T19:23:39Z	2026-08-19T18:58:01Z	TypeScript			https://github.com/andreban/webmcp-rocketlauncher
andreban/webmcp-text-editor	0	0	false	2026-05-12T20:07:53Z	2026-06-10T18:27:04Z	TypeScript	Monaco text editor driven entirely through WebMCP. Forked from andreban/agent-text-editor with the in-page chat removed.		https://github.com/andreban/webmcp-text-editor
Anionix/verifiable-offline-webmcp-agent-spec	0	0	false	2026-08-28T13:05:46Z	2026-08-31T11:04:51Z	JavaScript	Bilingual design specification and reference implementation for a verifiable, offline-capable WebMCP agent	https://kyoto-booking-retry-proof.vercel.app	https://github.com/Anionix/verifiable-offline-webmcp-agent-spec
anthonyniqmm/servo	0	0	false	2026-07-13T12:05:00Z	2026-07-13T12:22:45Z	Rust	Servo aims to empower developers with a lightweight, high-performance alternative for embedding web technologies in applications.	https://servo.org	https://github.com/anthonyniqmm/servo
api-evangelist/qr-code-crafter	0	1	false	2026-07-24T19:55:23Z	2026-09-01T15:50:42Z		QR Code Crafter — independent third-party profile of a public API surface, by API Evangelist. Public QR code generation API by Brand Aspect Ltd supporting 27+ payload types (URL, WiFi, vCard, payments) with six export formats, bulk generation, and capability-managed dynamic redirect QR codes. Offers machine-readable OpenAPI, WebMCP browser-agent su	https://qrcodecrafter.com	https://github.com/api-evangelist/qr-code-crafter
aqeelabpro/webmcp-agentstudio	0	0	false	2026-08-30T05:14:12Z	2026-09-01T09:55:23Z	TypeScript		webmcp-agentstudio.vercel.app	https://github.com/aqeelabpro/webmcp-agentstudio
ARAS-Workspace/phantom-browser-core	0	0	false	2026-08-30T08:43:50Z	2026-08-30T09:00:23Z				https://github.com/ARAS-Workspace/phantom-browser-core
arjablc/animcp	0	0	false	2026-08-27T16:12:56Z	2026-09-01T18:38:25Z	JavaScript	AniMCP is an open-source WebMCP animation editor where AI agents and humans create and edit 2D animations on the same timeli		https://github.com/arjablc/animcp
arpitagarwala/worldmonitor	0	0	false	2026-08-23T07:01:36Z	2026-08-23T07:02:47Z	TypeScript			https://github.com/arpitagarwala/worldmonitor
arrenzdev/worldmonitor	0	0	false	2026-08-26T17:21:43Z	2026-08-27T12:07:25Z	TypeScript	Real-time global intelligence dashboard. AI-powered news aggregation, geopolitical monitoring, and infrastructure tracking in a unified situational awareness interface	https://worldmonitor.app	https://github.com/arrenzdev/worldmonitor
Ashish-Patnaik/aegis-webmcp	0	0	false	2026-08-30T18:58:02Z	2026-09-01T20:30:13Z	TypeScript		https://aegis-webmcp.vercel.app	https://github.com/Ashish-Patnaik/aegis-webmcp
Astraethos/once-webmcp	0	0	false	2026-09-02T07:20:24Z	2026-09-02T08:47:11Z	TypeScript	ONCE — Teach an agent by working with it once. WebMCP development scaffold.		https://github.com/Astraethos/once-webmcp
Avinash1286/benchpilot	0	0	false	2026-08-31T04:35:32Z	2026-08-31T04:48:58Z	TypeScript	Human evidence. Agent structure. Shared control for safer electronics troubleshooting.	https://benchpilot.abinashyadav3-141.chatgpt.site	https://github.com/Avinash1286/benchpilot
Blackie360/webmcp-skill	0	0	false	2026-06-21T17:44:19Z	2026-06-21T18:04:52Z	TypeScript	Agent skill for implementing WebMCP on websites — expose app features to browser agents via document.modelContext.registerTool(). Install: npx skills add Blackie360/webmcp-skill -g		https://github.com/Blackie360/webmcp-skill
Cesar886/WebMCP-Challenge	0	0	false	2026-08-28T18:08:01Z	2026-08-28T18:38:53Z	HTML	A full-stack sales and management dashboard implementing WebMCP, enabling AI agents to securely query transaction logs and calculate metrics.		https://github.com/Cesar886/WebMCP-Challenge
Citability/webmcp-lab	0	0	false	2026-08-26T00:13:52Z	2026-08-26T01:36:48Z	JavaScript	Lighthouse for WebMCP: test whether an agent can actually use your site reliably.	https://webmcp-lab.vercel.app	https://github.com/Citability/webmcp-lab
Cjbooger/intent-for-sale-webmcp	0	0	false	2026-09-01T17:04:37Z	2026-09-02T03:39:29Z	TypeScript	A fictional WebMCP market simulation exposing commercial influence in agent recommendations.	https://cjbooger.github.io/intent-for-sale-webmcp/	https://github.com/Cjbooger/intent-for-sale-webmcp
clipmagic/webmcp-challenge	0	0	false	2026-08-29T03:54:59Z	2026-08-31T09:16:08Z	JavaScript	AI-enabled enquiry form		https://github.com/clipmagic/webmcp-challenge
cmwen/cmwen.github.io	0	0	false	2022-07-02T11:01:01Z	2026-08-31T12:45:16Z	TypeScript	Min's portfolio 	https://cmwen.github.io/	https://github.com/cmwen/cmwen.github.io
CodeGrogu/portfolio	0	0	false	2026-08-13T12:45:40Z	2026-08-14T11:11:51Z	TypeScript	The personal portfolio and digital storefront for CodeGrogu.	https://portfolio-codegrogus-projects.vercel.app	https://github.com/CodeGrogu/portfolio
ConcertoNotes/codex-plugins	0	0	false	2026-06-26T01:29:32Z	2026-06-26T02:13:58Z	Python	codex-plugins		https://github.com/ConcertoNotes/codex-plugins
corwinlim/caios-webmcp-challenge	0	0	false	2026-09-01T16:40:32Z	2026-09-02T08:36:10Z	TypeScript			https://github.com/corwinlim/caios-webmcp-challenge
cr4yfish/react-web-mcp	0	0	false	2026-06-12T12:08:41Z	2026-06-12T21:12:28Z	TypeScript	Helps integrating the WebMCP Standard to React frontends	https://webmcp.genie-app.de	https://github.com/cr4yfish/react-web-mcp
cr4yfish/web-mcp-skill	0	0	false	2026-06-12T13:13:56Z	2026-06-12T20:46:31Z		Enable your AI Agent to integrate WebMCP into your webapp	https://webmcp.genie-app.de/skill	https://github.com/cr4yfish/web-mcp-skill
CyberdyneDevelopment/FractalDataWorks	0	0	false	2026-07-14T05:32:41Z	2026-08-31T11:37:43Z	C#	FractalDataWorks — a .NET framework: Results/Messages, TypeCollections, source generators, DataGateway, and headless Blazor.		https://github.com/CyberdyneDevelopment/FractalDataWorks
Damso74/arcadeops-proof-gate	0	0	false	2026-08-27T23:45:17Z	2026-08-27T23:45:27Z	JavaScript	WebMCP challenge edition: accept verified delivery evidence, not an agent claim.		https://github.com/Damso74/arcadeops-proof-gate
Damso74/arcadeops-webmcp-challenge	0	0	false	2026-09-01T09:25:19Z	2026-09-02T06:31:42Z	TypeScript	ArcadeOps Relay: browser agents delegate bounded AI work through native WebMCP; humans decide and evidence proves delivery.		https://github.com/Damso74/arcadeops-webmcp-challenge
Damso74/patchwork-webmcp	0	0	false	2026-08-30T04:05:14Z	2026-09-01T06:37:49Z	TypeScript	A local-first browser canvas operated through WebMCP Site Tools.	https://patchwork-webmcp.vercel.app	https://github.com/Damso74/patchwork-webmcp
Damso74/umbra-webmcp	0	0	false	2026-08-29T08:52:24Z	2026-08-30T07:36:55Z	JavaScript	UMBRA — an asymmetric WebMCP shadow theatre for one human and one AI.	https://umbra-webmcp.vercel.app	https://github.com/Damso74/umbra-webmcp
danduh/danduh	0	0	false	2024-09-09T09:01:39Z	2026-08-05T14:07:57Z	MDX			https://github.com/danduh/danduh
dangerfarms/loamui	0	0	false	2026-07-06T20:44:21Z	2026-09-01T13:26:52Z	TypeScript	Modern UI primitives for agent-assisted developers. Contextual tokens, element styles and React components, built on Google's Modern Web Guidelines for quickly building bespoke UIs that are accessible, adaptable and fast.	https://dangerfarms.github.io/loamui/	https://github.com/dangerfarms/loamui
dannwaneri/geomart-webmcp	0	0	false	2026-08-27T18:23:23Z	2026-09-02T07:01:23Z	TypeScript	VES/resistivity survey equipment storefront where a human and an AI agent collaborate via WebMCP tools on live, unsubmitted page state -- built for The WebMCP Challenge (OpenAI/Devpost).		https://github.com/dannwaneri/geomart-webmcp
Davey2Waveyy/t1d	0	0	false	2026-03-31T03:04:18Z	2026-08-27T18:05:46Z	JavaScript		https://t1d-tau.vercel.app	https://github.com/Davey2Waveyy/t1d
DavidKk/vercel-web-scripts	0	0	false	2025-02-04T13:33:51Z	2026-08-10T10:03:12Z	TypeScript		https://vercel-web-scripts.vercel.app	https://github.com/DavidKk/vercel-web-scripts
deesatzed/ChordShapeLicks	0	0	false	2026-08-31T14:06:36Z	2026-08-31T14:55:29Z	TypeScript			https://github.com/deesatzed/ChordShapeLicks
der-bear/jobbbler	0	0	false	2026-08-29T11:25:39Z	2026-08-31T17:06:18Z	TypeScript	An evidence-first job portal that becomes agent-operable through WebMCP.		https://github.com/der-bear/jobbbler
devteapot/relay-webmcp	0	1	false	2026-08-26T15:50:41Z	2026-08-26T15:53:18Z	TypeScript	A shared infinite canvas where people and browser agents collaborate through WebMCP	https://relay-research-canvas.carlid-dev.chatgpt.site/	https://github.com/devteapot/relay-webmcp
dhrub-git/construct-webmcp	0	0	false	2026-08-27T23:41:14Z	2026-08-28T04:57:52Z	TypeScript	WebMCP hackathon demo — construction CRM leads & offers		https://github.com/dhrub-git/construct-webmcp
