# GitHub repository-search snapshot
# Query family: webmcp created:YYYY-MM-DD fork:false
# Snapshot date: 2026-09-02 (Asia/Kolkata)
# Scope: repositories created from 2026-08-25 through 2026-09-02 inclusive.
# Important: a search match is not proof that the repository implements the current WebMCP API.
# Columns: repo, created_at, stars, language, description, homepage, github_url
repo	created_at	stars	language	description	homepage	github_url
khushira2244/BubbleSurface	2026-08-27T14:01:05Z	0	TypeScript	State-aware WebMCP security workspace for AI-assisted incident investigation and controlled response		https://github.com/khushira2244/BubbleSurface
kinocode-jp/laboria	2026-08-27T15:55:14Z	0	TypeScript	Laboria — a shared planet grown by the conversation labor of visiting AI agents, via WebMCP.		https://github.com/kinocode-jp/laboria
kinocode-jp/moon-gate	2026-08-27T16:06:44Z	0	TypeScript	A shared jigsaw table where people and WebMCP agents seat pieces together.		https://github.com/kinocode-jp/moon-gate
kinocode-jp/oru-webmcp	2026-08-27T16:05:00Z	0	JavaScript	ORU: one square of paper. WebMCP teaches agents only valley and mountain folds.		https://github.com/kinocode-jp/oru-webmcp
krisnafirdaus/webmcp-x402	2026-08-27T22:44:25Z	0	TypeScript	SpendMCP — human-controlled x402 payments for paid web tools, built on WebMCP (OpenAI WebMCP Challenge 2026)	https://spendmcp-x402.vercel.app	https://github.com/krisnafirdaus/webmcp-x402
kyleairnz/airnz-disruption-webmcp-demo	2026-08-27T23:04:10Z	0	HTML			https://github.com/kyleairnz/airnz-disruption-webmcp-demo
lautaroalejo02/Haggle-WebMCP	2026-08-27T22:57:05Z	0	TypeScript	Marketplace platform using WebMCP for markpletaces purposes	https://haggle-web-mcp.vercel.app	https://github.com/lautaroalejo02/Haggle-WebMCP
levellerlabs/budget-bench	2026-08-27T17:56:52Z	0	JavaScript	Budget Bench - human+agent household budget workbench built on WebMCP. Every agent mutation is a proposal the human approves. Hackathon entry: webmcp.devpost.com		https://github.com/levellerlabs/budget-bench
liyixuan139/zodiac-sign-analysis	2026-08-27T14:08:08Z	0	JavaScript	星语 · 星座分析：纯前端星座网站 + WebMCP 7 工具（分析+生日动作），OpenAI WebMCP Challenge 参赛作品		https://github.com/liyixuan139/zodiac-sign-analysis
mathiasonea/relaybench	2026-08-27T13:11:19Z	0	Vue	Human and agent troubleshooting across the digital and physical world, built with WebMCP.	https://relaybench.mathias-onea.chatgpt.site/	https://github.com/mathiasonea/relaybench
meabs/ResilienceForge	2026-08-27T19:39:22Z	0	TypeScript	GCP resilience architecture bench with shared human controls, WebMCP fault injection, and evidence-based RCA.	https://resilience-forge.gman72.chatgpt.site/	https://github.com/meabs/ResilienceForge
mehdyhaghy/tincan-webmcp	2026-08-27T19:55:46Z	0	TypeScript	A privacy-safe WebMCP diagnostic channel for semantic website failures		https://github.com/mehdyhaghy/tincan-webmcp
mhurbuns/github_webmcp	2026-08-27T10:34:00Z	0	TypeScript	A React and TypeScript repository playground for experimenting with WebMCP agent-to-page workflows.		https://github.com/mhurbuns/github_webmcp
minjun0208/auction-copilot-webmcp	2026-08-27T03:17:37Z	0	HTML	AuctionCopilot — single-file WebMCP demo: 6 reusable tools (list + detail + compare + recommend + simulate) for any auction/marketplace		https://github.com/minjun0208/auction-copilot-webmcp
mizulba-dev/webmcp-demo	2026-08-27T14:04:16Z	0	Go	Your conversation with AI becomes a living canvas — goal, current position, gaps, and plan that persist across sessions. Built for the OpenAI WebMCP Challenge.		https://github.com/mizulba-dev/webmcp-demo
mkwatson/film-the-gap	2026-08-27T16:58:13Z	0	TypeScript	ChatGPT finds real products, identifies what listings cannot prove, and asks anyone with the product to film one reusable answer.	https://film-the-gap.vercel.app	https://github.com/mkwatson/film-the-gap
molidestroyer/webmcp-local-agent	2026-08-27T12:11:46Z	0	JavaScript	Chrome MV3 extension that lets local Ollama models call the WebMCP tools exposed by the current page. Side panel chat with dynamic model discovery and full tool calling.		https://github.com/molidestroyer/webmcp-local-agent
monkeyhut/proofrail-webmcp	2026-08-27T10:03:24Z	0	TypeScript	CI for public claims — a human-gated WebMCP evidence compiler.		https://github.com/monkeyhut/proofrail-webmcp
mrestrepoj10/drill-day	2026-08-27T17:06:26Z	0	TypeScript	AI-guided facilities training in a live Autodesk Scene API model, powered by WebMCP	https://drill-day.vercel.app	https://github.com/mrestrepoj10/drill-day
mygogocash/gogocash-webmcp	2026-08-27T16:08:39Z	0	TypeScript	Shop-with-agent cashback layer for the OpenAI WebMCP Challenge. ChatGPT can shop. We keep the cashback.	https://mygogocash.github.io/gogocash-webmcp/	https://github.com/mygogocash/gogocash-webmcp
nathaniel-lyman/planogrammy	2026-08-27T20:25:30Z	0	Rust	Deterministic Rust and WebGPU planogram editor with WebMCP tools		https://github.com/nathaniel-lyman/planogrammy
nbobby07/curbcut	2026-08-27T04:22:17Z	0	TypeScript	Browser-native accessibility repair workbench for developers and external agents using WebMCP.	https://curbcut-one.vercel.app	https://github.com/nbobby07/curbcut
neothechosen1/opencam	2026-08-27T04:29:25Z	0	TypeScript	Turn any camera into an AI guard — YOLO on the edge, Convex realtime brain. Events, natural-language footage search, email alerts, WebMCP agent tools.		https://github.com/neothechosen1/opencam
nermalcat69/webmcp-skill	2026-08-27T14:44:10Z	0		skill to setup mcp which allows an agent to trigger things on a store		https://github.com/nermalcat69/webmcp-skill
nexora-assistant/consentos-webmcp	2026-08-27T14:34:25Z	0	JavaScript			https://github.com/nexora-assistant/consentos-webmcp
nexora-assistant/consentos-webmcp.	2026-08-27T15:04:58Z	0	JavaScript		https://consentos-webmcp.vercel.app	https://github.com/nexora-assistant/consentos-webmcp.
openclawcity/arrivals	2026-08-27T08:08:51Z	0	TypeScript	The WebMCP front door to OpenClawCity — open this page inside an agent browser and your agent walks into a live city of 600+ AI citizens	https://arrivals.openclawcity.ai	https://github.com/openclawcity/arrivals
ostheimer/webmcp-simulator	2026-08-27T17:46:08Z	0	TypeScript	Paste a URL. Experience the WebMCP version.	https://webmcp-simulator.vercel.app	https://github.com/ostheimer/webmcp-simulator
pauloportella/auto-webmcp-chrome	2026-08-27T15:35:17Z	16	JavaScript	Turn standard web forms into structured WebMCP tools for compatible browser agents.		https://github.com/pauloportella/auto-webmcp-chrome
pixelhop/chatthing-webmcp-demo	2026-08-27T19:16:43Z	0	HTML	A fake storefront demonstrating ChatThing's WebMCP tool bridge		https://github.com/pixelhop/chatthing-webmcp-demo
pokatomnik/webmcp	2026-08-27T15:21:29Z	0	Rust	Yet another web fetch MCP server		https://github.com/pokatomnik/webmcp
rafaeel147-sketch/cepv-webmcp	2026-08-27T02:01:58Z	0	JavaScript	CEPV WebMCP adapter — auditable human-agent specialist execution		https://github.com/rafaeel147-sketch/cepv-webmcp
rahmatjon02/webmcp-learning-tutor	2026-08-27T14:53:09Z	0	TypeScript			https://github.com/rahmatjon02/webmcp-learning-tutor
ramonmnavarro-byte/mission-control-webmcp	2026-08-27T19:38:10Z	0	TypeScript	A privacy-first Mission Control demo with safe WebMCP tools, Shield Wall checks, and agent evaluation harness.	https://mission-control-webmcp-safe-preview.vercel.app	https://github.com/ramonmnavarro-byte/mission-control-webmcp
rca32/llmwiki-webmcp	2026-08-27T20:01:24Z	0	TypeScript	llmwiki-webmcp		https://github.com/rca32/llmwiki-webmcp
rca32/skill-chatgptsites-webmcp	2026-08-27T18:42:28Z	0	TypeScript	An Agent Skill for designing, implementing, securing, debugging, and end-to-end validating page-scoped WebMCP tools in ChatGPT Sites and compatible web apps, including real tool discovery and invocation from ChatGPT and Codex.		https://github.com/rca32/skill-chatgptsites-webmcp
robbyczgw-cla/pip-the-mug	2026-08-27T09:10:55Z	0	TypeScript	A desk of illustrated employees. Your browser agent is HR. WebMCP playground.	https://pip-the-mug.vercel.app/	https://github.com/robbyczgw-cla/pip-the-mug
roninazure/exposure-incident-zero	2026-08-27T21:28:27Z	0	TypeScript	Governed AI incident response through WebMCP — investigate, constrain, authorize, remediate, and verify recovery.		https://github.com/roninazure/exposure-incident-zero
royvergara/catering-webmcp	2026-08-27T03:52:24Z	0	JavaScript		https://catering-webmcp.vercel.app	https://github.com/royvergara/catering-webmcp
rubenurbano/webmcp-explicado-para-siempre	2026-08-27T10:08:49Z	0	HTML			https://github.com/rubenurbano/webmcp-explicado-para-siempre
sionchu/ownerops-webmcp	2026-08-27T17:39:14Z	0	TypeScript		https://ownerops-webmcp.vercel.app	https://github.com/sionchu/ownerops-webmcp
sneg55/ensemble	2026-08-27T18:19:57Z	0	JavaScript	Compose a purchasable look across Shopify stores: try it on, mix and match, add every piece to its cart. A WebMCP-consuming Chrome extension.	https://ensemble-dhf.pages.dev	https://github.com/sneg55/ensemble
someone114514/agent-file-workbench	2026-08-27T11:38:27Z	0	TypeScript	Local-first WebMCP workspace for agent-driven document, data, and media workflows		https://github.com/someone114514/agent-file-workbench
srivatsav-kannan/acorn	2026-08-27T14:36:01Z	0	TypeScript	An agent-native, evidence-backed academic planning workspace built with WebMCP.	https://acornplan.vercel.app	https://github.com/srivatsav-kannan/acorn
stefanbuesch/cyber-lagoon-webmcp-lab	2026-08-27T20:22:11Z	0	JavaScript	A WebMCP learning world where the agent builds the route and only human evidence can move it.	https://stefanbuesch.github.io/cyber-lagoon-webmcp-lab/	https://github.com/stefanbuesch/cyber-lagoon-webmcp-lab
stevekkall-beansgc/jumping-beans	2026-08-27T22:27:13Z	0	JavaScript	Jumping Beans — user-owned deal engine. Your agent discovers partner-shop WebMCP tools cross-origin, assembles a bespoke feed from a standing preference profile, and shops ask the engine for aggregate demand signal. WebMCP Challenge entry.		https://github.com/stevekkall-beansgc/jumping-beans
tandttakumi/agentic-service-dispatch	2026-08-27T04:58:07Z	0	TypeScript	Human approval creates one exact, time-limited WebMCP capability—and consumes it after one action.		https://github.com/tandttakumi/agentic-service-dispatch
than0112/webmcp-devpost-openai-ethan	2026-08-27T07:23:02Z	0	TypeScript			https://github.com/than0112/webmcp-devpost-openai-ethan
tickadoo/webmcp-challenge	2026-08-27T20:10:47Z	0	TypeScript	Public WebMCP layer snapshot for the OpenAI challenge (tickadoo/frontend#2935 @ c8a0fa0)		https://github.com/tickadoo/webmcp-challenge
tkhs0813/veilfill-webmcp	2026-08-27T05:57:58Z	0	TypeScript	Agent maps. Human approves. Browser fills — a privacy-minimizing WebMCP scholarship demo.	https://veilfill-webmcp.takahashiry-0813.chatgpt.site	https://github.com/tkhs0813/veilfill-webmcp
tsuchiyatakahirolab/actionproof	2026-08-27T03:57:20Z	0	TypeScript	Effect verification for WebMCP actions: correct call, wrong effect, caught.	https://actionproof.vercel.app	https://github.com/tsuchiyatakahirolab/actionproof
ttthkim-hue/captain-webmcp	2026-08-27T02:21:28Z	0	TypeScript	Human-agent operations console for the OpenAI WebMCP Challenge		https://github.com/ttthkim-hue/captain-webmcp
tuncer-byte/ui-test-agent	2026-08-27T11:53:17Z	0	JavaScript	Tests web apps through their own WebMCP tools instead of brittle UI selectors.	https://tuncer-byte.github.io/ui-test-agent/	https://github.com/tuncer-byte/ui-test-agent
uset82/keylit	2026-08-27T11:03:44Z	1	TypeScript	Free AI piano tutor that hears you on the page. It lights the next key, you play it, then it lights the one after. Built for the OpenAI WebMCP Challenge.	https://keyboard-midi.uset182.chatgpt.site/	https://github.com/uset82/keylit
v1b3x0r/living-memory-site	2026-08-27T02:33:02Z	0	TypeScript	Entance of Shared memory service for AI agents — instant free rooms for ChatGPT, Claude, Cursor, and MCP clients with zero signup.	https://viibe.to/living-memory	https://github.com/v1b3x0r/living-memory-site
vaibhav-patel/webmcp-challenge-hackathon	2026-08-27T19:23:24Z	0	TypeScript	Papercut — edit a podcast by striking through its transcript, together with your agent. A WebMCP app for the WebMCP Challenge.	https://webmcp-challenge-six.vercel.app	https://github.com/vaibhav-patel/webmcp-challenge-hackathon
vincentsider/interlock	2026-08-27T17:56:47Z	0	Python	Give an agent the machine's control panel, not a bypass. WebMCP tools that the physical world registers and unregisters in real time.		https://github.com/vincentsider/interlock
vincentsider/tripwire	2026-08-27T20:07:03Z	0	TypeScript	A pre-ship assurance range for WebMCP developers: run your AI agent through a corpus of tool-surface attacks and see what got through.	https://tripwire.vincent-7e0.workers.dev	https://github.com/vincentsider/tripwire
webmachinelearning/webmcp-polyfill	2026-08-27T20:20:58Z	1		WebMCP polyfill		https://github.com/webmachinelearning/webmcp-polyfill
westurner/sphinxcontrib-webmcp	2026-08-27T00:39:58Z	0	Python	A Sphinx extension to add WebMCP JS to Sphinx docs		https://github.com/westurner/sphinxcontrib-webmcp
wraithsupplements/clauseproof-webmcp	2026-08-27T02:18:50Z	0	TypeScript			https://github.com/wraithsupplements/clauseproof-webmcp
zabrodsk/webmcp-skill	2026-08-27T18:30:22Z	0		Agent skill for adding native WebMCP tools to web applications		https://github.com/zabrodsk/webmcp-skill
10xdev4u-alt/lattice	2026-08-28T07:40:45Z	0	TypeScript	Research papers, in conversation. A WebMCP-powered workspace where the AI agent, your open PDF, your library, and your notes share one context. The page IS the audit log.	https://lattice-app.netlify.app	https://github.com/10xdev4u-alt/lattice
11HimanshuSharma/anvil	2026-08-28T18:31:47Z	0	TypeScript	A workspace whose tools are written at runtime, by your agent, with your approval. Built for the OpenAI WebMCP Challenge.	https://anvil-zeta-seven.vercel.app	https://github.com/11HimanshuSharma/anvil
2574895/webmcp-paper	2026-08-28T18:03:44Z	0	JavaScript	WebMCP Challenge: 1-page paper canvas with document.modelContext.registerTool		https://github.com/2574895/webmcp-paper
40RTY-ai/40rty-ams-webmcp-playground	2026-08-28T19:30:15Z	0	JavaScript	WebMCP × AMS — a Steve Madden storefront that composes itself around what an agent asks for. One command, 19 declared tools, no build.		https://github.com/40RTY-ai/40rty-ams-webmcp-playground
9kubczas4/job-pilot	2026-08-28T19:59:26Z	0	TypeScript	Job Pilot uses WebMCP to turn a job board into an AI partner that builds your profile from a CV, finds and compares the best offers, and helps you apply.	https://job-pilot-1e4ee.web.app/	https://github.com/9kubczas4/job-pilot
AKzar1el/auvrora-webmcp	2026-08-28T20:57:49Z	0	TypeScript	Human-agent WebMCP remediation loop for deterministic technical SEO audits. Built for the OpenAI WebMCP Challenge.	https://auvrora-webmcp.tomi-seregi99.workers.dev	https://github.com/AKzar1el/auvrora-webmcp
Aarush-Dubey/accesscart-accessible-shopping	2026-08-28T13:43:54Z	0	TypeScript	AccessCart: an accessible shopping assistant with capability-aware product fit and WebMCP tools		https://github.com/Aarush-Dubey/accesscart-accessible-shopping
AccessLint/2D-webmcp-demo	2026-08-28T02:35:37Z	0	HTML			https://github.com/AccessLint/2D-webmcp-demo
Aj-Fishman/CoursePilot	2026-08-28T11:28:17Z	0	TypeScript	Agent-native course planning with WebMCP: AI builds and validates conflict-free schedules while students retain final enrollment control.		https://github.com/Aj-Fishman/CoursePilot
Al-hassanSulaiman/dodolink-webmcp-challenge	2026-08-28T00:23:22Z	0	JavaScript	DodoLink Agent Shopping — a safe, standalone WebMCP challenge demo using real public marketplace data.	https://dodolink.com.ng/agent	https://github.com/Al-hassanSulaiman/dodolink-webmcp-challenge
Ameya-bit/benefit-cliff-webmcp	2026-08-28T02:26:17Z	0	HTML			https://github.com/Ameya-bit/benefit-cliff-webmcp
Anionix/verifiable-offline-webmcp-agent-spec	2026-08-28T13:05:46Z	0	JavaScript	Bilingual design specification and reference implementation for a verifiable, offline-capable WebMCP agent	https://kyoto-booking-retry-proof.vercel.app	https://github.com/Anionix/verifiable-offline-webmcp-agent-spec
ArrowMem/data-dignity-standard	2026-08-28T05:55:31Z	1		Open standards and tools from the team building ArrowMem.	https://arrowmem.ca	https://github.com/ArrowMem/data-dignity-standard
Avanderheyde/vibe-intel-desk	2026-08-28T01:35:33Z	0	TypeScript	A WebMCP architect that drafts software stacks and fully equips coding agents with the right skills, MCPs, diagnostics, and evidence.	https://stack-blueprint.vercel.app	https://github.com/Avanderheyde/vibe-intel-desk
Ayamba490/webmcp	2026-08-28T21:21:55Z	0	TypeScript	WebMCP provides the exact missing bridge for web commerce and dynamic workflows: rather than requiring autonomous browser agents (ChatGPT in-app browser, Chrome with #enable-webmcp-testing) to guess through fragile DOM click paths, AuraCommerce exposes 12 rich, high-level, schema-validated tools on 'document.modelContext'. This transforms e-commerc		https://github.com/Ayamba490/webmcp
B-Divyesh/sf-webmcp-safety-check	2026-08-28T01:51:14Z	0	TypeScript	WebMCP Safety Check — built by Param Factory, live at https://webmcp-safety-check.sociobot.in		https://github.com/B-Divyesh/sf-webmcp-safety-check
Cesar886/WebMCP-Challenge	2026-08-28T18:08:01Z	0	HTML	A full-stack sales and management dashboard implementing WebMCP, enabling AI agents to securely query transaction logs and calculate metrics.		https://github.com/Cesar886/WebMCP-Challenge
Chagatai404/3d-office-webmcp	2026-08-28T11:36:47Z	0	TypeScript		https://3d-office-webmcp.vercel.app	https://github.com/Chagatai404/3d-office-webmcp
DITlieD/understudy	2026-08-28T23:37:03Z	0	TypeScript	Show a support procedure once. The page registers it as a WebMCP tool.	https://ditlied.github.io/understudy/	https://github.com/DITlieD/understudy
Dev-Vibes-Daily/vettory-webmcp	2026-08-28T23:49:17Z	0	JavaScript	Vettory for WebMCP — a trust layer AI agents can query in the page, before they act.		https://github.com/Dev-Vibes-Daily/vettory-webmcp
DruvanKarthik/codraft-webmcp	2026-08-28T18:46:59Z	0	TypeScript	A shared document humans and agents edit together, built with WebMCP		https://github.com/DruvanKarthik/codraft-webmcp
Dylon-Chan/cuebench-webmcp	2026-08-28T14:43:48Z	0				https://github.com/Dylon-Chan/cuebench-webmcp
ETHAN071104/webmcp-business-platform	2026-08-28T03:48:14Z	0	TypeScript	Configure once. Serve humans and agents with one capability-aware business platform.	https://webmcp-business-platform.vercel.app	https://github.com/ETHAN071104/webmcp-business-platform
Eason0in/release-evidence-room	2026-08-28T01:12:27Z	0	TypeScript	Human-controlled WebMCP release review built around bounded evidence and auditable proposals.	https://release-evidence-room.vercel.app/	https://github.com/Eason0in/release-evidence-room
ExtendDB/extenddb-lorekeeper	2026-08-28T14:19:14Z	0	JavaScript	Lorekeeper: the campaign codex you and your agent keep together. Persistent, semantically searchable lore for WebMCP agents, running entirely in the browser on ExtendDB.		https://github.com/ExtendDB/extenddb-lorekeeper
Fami80/shieldon-webmcp-challenge	2026-08-28T19:25:36Z	0	TypeScript	ShieldOn WebMCP Challenge submission: a read-only WebMCP demo of a governed revenue investigation. Synthetic data only.	https://shieldon-webmcp-challenge.vercel.app	https://github.com/Fami80/shieldon-webmcp-challenge
Fin1990/onepath-webmcp	2026-08-28T07:02:00Z	0	TypeScript	A calmer, adaptive WebMCP path forward—shaped together by a person and their agent.		https://github.com/Fin1990/onepath-webmcp
Gosplex/evensplit	2026-08-28T03:32:51Z	0	JavaScript	A shared trip ledger with 14 WebMCP site tools. One sentence becomes several expenses; the agent proposes, you approve.	https://evensplit-iota.vercel.app/	https://github.com/Gosplex/evensplit
Gouckie/versailles-the-thread-of-time	2026-08-28T20:22:30Z	0	JavaScript	An interactive historical reasoning experience built for the OpenAI WebMCP Challenge.	https://versailles.albizia.app	https://github.com/Gouckie/versailles-the-thread-of-time
HuyDoan-2112/webmcp-superweb	2026-08-28T05:57:17Z	0	TypeScript	SuperWeb — WebMCP tools that let an internal dashboard explain itself, and refuse to publish a number it can't vouch for. OpenAI WebMCP Challenge.	https://webmcp-superweb.vercel.app	https://github.com/HuyDoan-2112/webmcp-superweb
JoviDeCroock/forklight	2026-08-28T05:21:17Z	0	TypeScript	Rehearse the fix before shipping it — an agent-native incident-response canvas built on pracht + WebMCP		https://github.com/JoviDeCroock/forklight
Kevxn97/webmcp-challenge	2026-08-28T20:27:53Z	0	TypeScript	Deterministic factory decision lab where a human and a WebMCP browser agent replan the same live system together — OpenAI WebMCP Challenge entry.	https://webmcp-challenge-seven.vercel.app	https://github.com/Kevxn97/webmcp-challenge
LFLQ222/healthy-record-webmcp	2026-08-28T17:23:49Z	0	TypeScript			https://github.com/LFLQ222/healthy-record-webmcp
LinPav84/ai-lead-desk-webmcp	2026-08-28T08:36:27Z	0	TypeScript		https://ai-lead-desk-webmcp.vercel.app	https://github.com/LinPav84/ai-lead-desk-webmcp
LiveSignal-webmcp/livesignal	2026-08-28T18:57:24Z	0	TypeScript	WebMCP adapter that turns livestream transcripts into searchable, timestamped evidence for agents.		https://github.com/LiveSignal-webmcp/livesignal
LucasGalhardoLima/agentform-webmcp	2026-08-28T19:54:05Z	0	HTML	Two-sided forms: creators build with their agent, respondents' agents fill and submit via WebMCP. OpenAI WebMCP Challenge.		https://github.com/LucasGalhardoLima/agentform-webmcp
Md-Zubair677/MAZE_Game	2026-08-28T14:07:43Z	0	JavaScript	AI-powered maze escape game using WebMCP and Amazon Bedrock Claude, where an AI agent analyzes the maze, finds a valid path, executes moves step-by-step, and verifies the final escape.		https://github.com/Md-Zubair677/MAZE_Game
MilosK88/Spoj	2026-08-28T07:52:51Z	0		Lukul.app WebMCP showcase		https://github.com/MilosK88/Spoj
MirLunaDEV/forklight	2026-08-28T08:36:36Z	0	TypeScript	Branchable live state for AI agents: humans define the rules, agents explore futures, verified changes merge only after approval.	https://forklight.kimth06230724.chatgpt.site/	https://github.com/MirLunaDEV/forklight
Najariya/webmcp-cpgrams-simulation	2026-08-28T16:49:07Z	0	TypeScript	WebMCP Challenge — a CPGRAMS-style citizen grievance sandbox where the citizen's own browser agent files, tracks, reminds, rates and appeals through structured, human-gated tools. Simulation; MIT.	https://webmcp-cpgrams-simulation.vercel.app	https://github.com/Najariya/webmcp-cpgrams-simulation
NawafSheikh/mcpforwork	2026-08-28T15:32:25Z	0	TypeScript	A collaborative AI OS: the layer several people's agents run on at once, in a browser. 43 WebMCP tools in 8 switchable packs, loops across machines, and no server holding anyone's data.	https://mcpforwork.com	https://github.com/NawafSheikh/mcpforwork
NawafSheikh/webmcp-spike	2026-08-28T15:14:01Z	0	HTML	Throwaway WebMCP spike page		https://github.com/NawafSheikh/webmcp-spike
Nifemi0/scholarship-scout	2026-08-28T13:05:01Z	0	TypeScript	WebMCP scholarship discovery and application-planning assistant with official-source-backed data	https://scholarship-scout-brown.vercel.app	https://github.com/Nifemi0/scholarship-scout
RodCor/guildhall	2026-08-28T04:12:06Z	0	TypeScript	WebMCP, MCP, and A2A protocol for autonomous agent collaboration		https://github.com/RodCor/guildhall
ShreyashChaurasia/AetherDraw	2026-08-28T20:52:01Z	0	TypeScript	OpenAI's The WebMCP Challenge Repository		https://github.com/ShreyashChaurasia/AetherDraw
SilentKeyTech/tagtitan-webmcp	2026-08-28T21:36:00Z	0	JavaScript	A WebMCP listing studio for print-on-demand sellers, where a person and an agent operate the same grid. Built for the OpenAI WebMCP Challenge.		https://github.com/SilentKeyTech/tagtitan-webmcp
Somesh9618/SmartCart-AI	2026-08-28T15:03:45Z	0	JavaScript	WEBMCP based webapp	https://smart-cart-ai-chi.vercel.app	https://github.com/Somesh9618/SmartCart-AI
StellarRequiem/ceiling-webmcp	2026-08-28T17:50:34Z	0	JavaScript	Claim-capped WebMCP authority workbench with human-gated effects and verifiable local receipts.		https://github.com/StellarRequiem/ceiling-webmcp
UditJain2622004/ArchFlow-WebMCP	2026-08-28T17:22:58Z	0	TypeScript		https://archflow-two-xi.vercel.app	https://github.com/UditJain2622004/ArchFlow-WebMCP
Wisteria30/webmcp-bridge	2026-08-28T05:09:50Z	0	TypeScript	Expose WebMCP (document.modelContext) tools from a live Chrome page as a stdio MCP server for CLI agents like Claude Code		https://github.com/Wisteria30/webmcp-bridge
WordwiseDigital/pa-in-your-pocket-school-actions-webmcp	2026-08-28T06:40:18Z	0	TypeScript	Human-controlled school admin actions powered by WebMCP		https://github.com/WordwiseDigital/pa-in-your-pocket-school-actions-webmcp
YoavAlro/tweaksy-live	2026-08-28T20:28:51Z	0	TypeScript	First-party WebMCP accessibility collaboration surface for people, agents, and website owners.	https://tweaksy-live.yoavalro.chatgpt.site	https://github.com/YoavAlro/tweaksy-live
agammann/chargeroute-webmcp	2026-08-28T23:19:35Z	0	TypeScript	Agent-native EV trip planner with seven WebMCP tools for routes, preferences, and charging stops.		https://github.com/agammann/chargeroute-webmcp
agentdesksdk/agentdesk	2026-08-28T01:41:19Z	1	TypeScript	Capability-virtualization runtime for WebMCP: right tools at the right time, human-governed consequential actions. OpenAI WebMCP Challenge.		https://github.com/agentdesksdk/agentdesk
aletheia/the-daily-wall	2026-08-28T14:01:27Z	0	TypeScript	A fact checking daily news post it website. To be used as a demonstration of how to manage WebMCP and WebGPU togheter.	https://the-daily-wall.vercel.app/	https://github.com/aletheia/the-daily-wall
andreban/webmcp-appfunctions	2026-08-28T19:25:00Z	2	TypeScript			https://github.com/andreban/webmcp-appfunctions
andywongpt-my/thinking-darkroom	2026-08-28T10:41:01Z	0	PHP	Photographer-first photo workspace where a WebMCP AI agent inspects, analyzes, and proposes — the photographer alone decides. Laravel 12 + Inertia + React.		https://github.com/andywongpt-my/thinking-darkroom
aprilhan723/future-doors-webmcp	2026-08-28T17:23:19Z	0	TypeScript	A WebMCP path compiler that turns official opportunity rules into visible human-agent action and evidence paths.	https://future-doors-webmcp.vercel.app	https://github.com/aprilhan723/future-doors-webmcp
asadvendor-boop/open-application-desk	2026-08-28T10:01:00Z	0	TypeScript	A human-controlled WebMCP portal for high-stakes application submissions.		https://github.com/asadvendor-boop/open-application-desk
chrisheisen798-alt/RELAY-webmcp	2026-08-28T22:24:56Z	0	TypeScript	Relay — a collaborative workspace for humans and AI agents on the WebMCP-enabled web		https://github.com/chrisheisen798-alt/RELAY-webmcp
codeatspeed/home-studio	2026-08-28T09:38:21Z	0	HTML	Backend-free Cloudflare Workers WebMCP home project studio		https://github.com/codeatspeed/home-studio
craigsdennis/ai-gateway-canvas-playground	2026-08-28T07:32:38Z	0	TypeScript	A reboot of Harley Turan's Multi Modal Playground now with WebMCP!		https://github.com/craigsdennis/ai-gateway-canvas-playground
doggy8088/agentready	2026-08-28T20:32:50Z	0	TypeScript	One JavaScript file. Make any website agent-ready — semantic HTML becomes safe, structured WebMCP tools for ChatGPT, Chrome and in-page agents.		https://github.com/doggy8088/agentready
ergjus/aisle	2026-08-28T02:40:32Z	0	TypeScript	A wedding seating chart that you and your AI agent plan together — live on the same canvas. Built on WebMCP.	https://aisle-three.vercel.app	https://github.com/ergjus/aisle
fandyrahmats/adPilot-WebMCP	2026-08-28T15:52:34Z	0	TypeScript	Agent-native ads workspace where an AI agent plans, builds, and monitors campaigns through WebMCP tools — humans approve every change that spends money.	https://adpilot-94h4.onrender.com	https://github.com/fandyrahmats/adPilot-WebMCP
felipestudionn/aimily-context-review	2026-08-28T18:30:16Z	0	TypeScript	Aimily Context Review: governed fashion collection revisions through WebMCP	https://aimily-webmcp-challenge.vercel.app/webmcp-challenge	https://github.com/felipestudionn/aimily-context-review
feruz-bb/WebMCP_OpenAI	2026-08-28T14:43:34Z	0	Python			https://github.com/feruz-bb/WebMCP_OpenAI
gessa-ai/webmcp-bridge	2026-08-28T00:14:33Z	0	TypeScript	MIT bridge for projecting authorized application tools into WebMCP	https://gessa-ai.github.io/webmcp-bridge/	https://github.com/gessa-ai/webmcp-bridge
gnanam1990/webmcp-loom	2026-08-28T07:41:18Z	0	TypeScript	Weave one semantic WebMCP tool surface across external agents and a collaborative in-app runtime.		https://github.com/gnanam1990/webmcp-loom
godswillumukoro/travel-concierge-webmcp	2026-08-28T06:59:17Z	0	Go			https://github.com/godswillumukoro/travel-concierge-webmcp
graph8-com/agent-surface	2026-08-28T19:07:51Z	0	TypeScript	A WebMCP standard for B2B websites that work with visiting AI agents. Spec + reference implementation; in production on graph8.com, cience.com, tenbound.com.		https://github.com/graph8-com/agent-surface
hayashiii-ghub/teachback-webmcp	2026-08-28T07:14:23Z	1	TypeScript	Teachback — a WebMCP demo for turning human demonstrations into constrained, reusable rules.		https://github.com/hayashiii-ghub/teachback-webmcp
